# logfile for 8:00am to 1:49pm 2012/11/03
# syntax:  id,date,time,location,type
390904,20121103,0800,1037,0
369756,20121103,0807,1074,0
397529,20121103,0820,1078,0
221540,20121103,0834,0,2
389701,20121103,0840,1076,0
390904,20121103,0846,1037,1
369756,20121103,0846,1074,1
221540,20121103,0847,1093,0
397529,20121103,0856,1078,1
105717,20121103,0915,0,2
390904,20121103,0934,1020,0
205629,20121103,0950,1045,0
369756,20121103,1001,1065,0
397529,20121103,1006,1073,0
170779,20121103,1010,1067,0
165717,20121103,1013,1011,0
221540,20121103,1032,1093,1
221540,20121103,1051,1006,0
390904,20121103,1110,1020,1
165717,20121103,1125,1011,1
205629,20121103,1134,1045,1
205629,20121103,1139,0,2
105717,20121103,1149,1042,0
221540,20121103,1154,1006,1
397529,20121103,1202,1073,1
205629,20121103,1213,1066,0
105717,20121103,1220,1042,1
369756,20121103,1238,1065,1
389701,20121103,1242,1076,1
397529,20121103,1243,1038,0
205629,20121103,1250,1066,1
397529,20121103,1259,1038,1
105717,20121103,1318,1095,0
221540,20121103,1331,1051,0
389701,20121103,1349,1080,0
